127.0.0.1 - - [13/Dec/2023:09:02:55 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/ HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/image/login.png HTTP/1.1" 200 10137
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/image/callcenter.png HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/image/register.png HTTP/1.1" 200 32237
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/image/logo.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10630
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/image/myinfo.png HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/image/search.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/banner/banner2.jpg HTTP/1.1" 200 115101
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/banner/banner3.jpg HTTP/1.1" 200 123519
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/banner/banner1.jpg HTTP/1.1" 200 588800
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /controller/resources/js/movie.js HTTP/1.1" 200 5935
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:57 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:58 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:02:58 +0900] "GET /controller/resources/image/star2.png HTTP/1.1" 200 36617
