127.0.0.1 - - [26/Dec/2023:09:09:04 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/ HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/image/callcenter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/image/myinfo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/image/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/image/register.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/image/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/banner/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/banner/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/banner/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/resources/js/movie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Dec/2023:09:09:05 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
